customerid,gender,seniorcitizen,partner,dependents,tenure,phoneservice,multiplelines,internetservice,onlinesecurity,onlinebackup,deviceprotection,techsupport,streamingtv,streamingmovies,contract,paperlessbilling,paymentmethod,monthlycharges,totalcharges
2436-QBZFP,Female,0,Yes,Yes,0.3055555555555555,No,No phone service,DSL,No,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,0.20845771144278608,0.09786063006632278
3402-XRIUO,Female,1,Yes,No,0.3055555555555555,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Mailed check,0.4507462686567164,0.15910556374355198
4929-BSTRX,Female,0,No,No,0.013888888888888888,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,0.35124378109452736,0.006165945099484157
0285-INHLN,Male,0,Yes,Yes,0.375,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),0.36318407960199006,0.1739015291083272
4501-EQDRN,Female,0,No,No,0.013888888888888888,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),0.5119402985074627,0.008025515843773031
0337-CNPZE,Female,0,No,No,0.5694444444444444,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,0.8761194029850746,0.5116352708179809
2272-QAGFO,Female,1,No,No,0.19444444444444442,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,0.5577114427860697,0.12622628039793665
5027-QPKTE,Male,0,Yes,No,0.09722222222222221,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,0.508457711442786,0.05194132277081799
5423-BHIXO,Female,0,No,No,0.4444444444444444,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,0.3577114427860697,0.2003039793662491
1338-CECEE,Male,0,Yes,Yes,0.5694444444444444,Yes,Yes,DSL,No,Yes,Yes,No,Yes,No,One year,No,Bank transfer (automatic),0.5,0.3270023489314665
2718-GAXQD,Female,1,Yes,Yes,0.05555555555555555,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,0.2761194029850746,0.02091009579955785
4521-WFJAI,Male,0,No,No,0.7777777777777777,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),0.07661691542288557,0.16627325902726606
3336-JORSO,Female,1,No,No,0.4583333333333333,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,0.9174129353233832,0.4209020357406043
5485-WUYWF,Male,1,No,No,0.027777777777777776,Yes,No,DSL,Yes,No,Yes,No,Yes,No,Month-to-month,No,Bank transfer (automatic),0.4791044776119403,0.010886836772291821
8868-WOZGU,Male,0,No,No,0.38888888888888884,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,0.8701492537313432,0.3430706521739131
7246-ZGQDF,Female,0,No,Yes,0.013888888888888888,Yes,No,DSL,Yes,No,No,Yes,No,No,Month-to-month,No,Electronic check,0.3606965174129353,0.006275331613854091
2967-MXRAV,Male,0,Yes,Yes,0.013888888888888888,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,0.00547263681592039,0.0021647015475313195
4512-ZUIYL,Female,0,No,No,0.027777777777777776,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),0.5149253731343283,0.017622743183493002
8361-LTMKD,Male,1,Yes,No,0.05555555555555555,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,0.5587064676616916,0.035303058216654394
2697-NQBPF,Male,0,No,No,0.4722222222222222,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,0.8666666666666666,0.40768353905674287
6872-HXFNF,Female,0,Yes,No,0.8888888888888888,Yes,Yes,DSL,No,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),0.39900497512437816,0.4325315493736183
1386-ZIKUV,Male,0,No,No,0.09722222222222221,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,0.006965174129353213,0.015032009948415626
2330-PQGDQ,Male,0,Yes,Yes,0.7083333333333333,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,One year,No,Bank transfer (automatic),0.6562189054726368,0.49508912122328674
1930-BZLHI,Male,0,No,No,0.29166666666666663,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,0.020895522388059695,0.04867124170965365
2999-AANRQ,Female,0,No,No,0.29166666666666663,Yes,No,DSL,Yes,Yes,No,Yes,Yes,No,Two year,No,Credit card (automatic),0.5253731343283582,0.17557686993367724
5198-EFNBM,Male,1,Yes,No,0.7916666666666666,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,One year,Yes,Electronic check,0.7203980099502488,0.5987242078113487
8185-UPYBR,Male,0,Yes,No,0.08333333333333333,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,0.5696517412935324,0.05043294030950627
5780-INQIK,Female,0,No,No,0.1111111111111111,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,0.30995024875621885,0.047007415254237295
6791-YBNAK,Male,0,Yes,Yes,0.25,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),0.072636815920398,0.053869979734708924
5931-FLJJF,Male,1,Yes,No,0.09722222222222221,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,0.5159203980099502,0.0538354366249079
6131-FOYAS,Male,0,No,No,0.4861111111111111,Yes,Yes,DSL,Yes,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,0.4114427860696518,0.2412145357406043
5985-TBABQ,Female,0,No,No,0.4444444444444444,Yes,Yes,DSL,Yes,No,No,No,Yes,Yes,One year,No,Mailed check,0.5621890547263682,0.2628673084008843
4998-IKFSE,Female,0,No,No,0.41666666666666663,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,0.817910447761194,0.35658852247605016
0980-FEXWF,Male,0,Yes,Yes,0.3611111111111111,Yes,No,DSL,No,No,Yes,No,No,No,One year,No,Mailed check,0.31940298507462683,0.14805176860722183
6075-SLNIL,Male,0,No,No,0.5277777777777778,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),0.7646766169154228,0.4250184229918939
7279-BUYWN,Female,1,No,No,0.5694444444444444,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,0.944776119402985,0.5399663780397937
5337-IIWKZ,Male,0,Yes,Yes,0.4722222222222222,No,No phone service,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,0.2646766169154229,0.1661063006632277
3605-JISKB,Male,1,Yes,No,0.7638888888888888,Yes,Yes,DSL,Yes,Yes,No,No,No,No,One year,No,Credit card (automatic),0.41542288557213924,0.3818280213706706
2267-WTPYD,Female,1,Yes,No,0.7916666666666666,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,No,Credit card (automatic),0.753731343283582,0.6262608235077377
6797-UCJHZ,Female,1,Yes,No,0.9166666666666666,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,No,Credit card (automatic),0.8592039800995025,0.7852167004421519
2716-GFZOR,Male,0,Yes,No,0.5972222222222222,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),0.6751243781094527,0.4089501197494474
5393-HJZSM,Female,0,Yes,Yes,0.4444444444444444,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),0.5776119402985074,0.2768227247605012
8203-XJZRC,Male,0,No,No,0.013888888888888888,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,0.019900497512437804,0.002331659911569639
7013-PSXHK,Female,0,No,No,0.5555555555555556,Yes,Yes,DSL,No,No,Yes,Yes,Yes,Yes,One year,Yes,Mailed check,0.6218905472636815,0.36945583087693445
5312-UXESG,Female,0,No,No,0.5694444444444444,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),0.7940298507462686,0.45949244657332355
6741-EGCBI,Male,1,No,No,0.41666666666666663,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),0.7189054726368159,0.29889577192336036
6204-IEUXJ,Female,0,No,No,0.041666666666666664,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),0.6154228855721392,0.025049511790714817
6353-BRMMA,Female,0,Yes,Yes,0.75,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),0.854228855721393,0.6500782977155491
2344-JMOGN,Male,0,Yes,No,0.125,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Mailed check,0.7621890547263681,0.10254697862932942
2077-MPJQO,Male,1,Yes,No,0.09722222222222221,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,0.5686567164179105,0.06137734893146647
8091-TTVAX,Male,0,Yes,No,0.8055555555555555,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),0.8169154228855721,0.6541428703021372
6900-RBKER,Male,0,No,No,0.7222222222222222,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Two year,Yes,Credit card (automatic),0.708457711442786,0.5270990696389094
8319-QBEHW,Male,0,No,Yes,0.3611111111111111,No,No phone service,DSL,No,Yes,No,No,Yes,No,One year,Yes,Bank transfer (automatic),0.21592039800995028,0.11787836219602064
9860-LISIZ,Female,0,No,No,0.4722222222222222,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,0.020895522388059695,0.07751473839351512
5206-XZZQI,Male,0,No,No,0.736111111111111,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Mailed check,0.6203980099502486,0.5006563190862197
9529-OFXHY,Male,0,No,No,0.20833333333333331,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),0.6915422885572139,0.14303150331613856
1725-MIMXW,Male,0,No,Yes,0.013888888888888888,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,0.011940298507462671,0.002239544952100221
4324-AHJKS,Female,0,No,No,0.06944444444444445,Yes,No,DSL,Yes,No,Yes,No,No,No,Month-to-month,No,Credit card (automatic),0.37363184079601985,0.0345891672807664
2133-TSRRM,Female,0,No,Yes,0.4722222222222222,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),0.8666666666666666,0.4247190493736183
2809-ZMYOQ,Female,0,No,No,0.4444444444444444,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,0.8268656716417909,0.38399272291820197
4032-RMHCI,Female,0,Yes,Yes,0.5694444444444444,No,No phone service,DSL,Yes,No,Yes,No,No,No,One year,No,Credit card (automatic),0.1706467661691542,0.1626289609432572
8409-WQJUX,Female,0,No,No,0.3472222222222222,No,No phone service,DSL,No,No,Yes,Yes,Yes,Yes,One year,No,Electronic check,0.3577114427860697,0.16386675571112752
1536-YHDOE,Male,0,Yes,Yes,0.2361111111111111,Yes,Yes,DSL,Yes,No,No,Yes,No,No,One year,Yes,Mailed check,0.43631840796019905,0.12627233787767136
1140-UKVZG,Female,0,No,No,0.2361111111111111,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,0.06517412935323383,0.05472204310980104
2987-BJXIK,Female,0,No,No,0.9722222222222222,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,Two year,No,Mailed check,0.6611940298507463,0.6898316599115698
3653-NCRDJ,Male,0,Yes,Yes,0.5972222222222222,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,0.009452736318407956,0.08938029661016951
9365-CSLBQ,Male,0,No,Yes,0.986111111111111,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,0.06069651741293533,0.19051676492262345
8263-JQAIK,Male,1,No,No,0.027777777777777776,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,0.061691542288557194,0.005469325718496685
3452-SRFEG,Male,0,No,No,0.6805555555555555,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),0.5606965174129352,0.42837486182756085
5985-BEHZK,Female,1,Yes,No,1.0,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,No,Credit card (automatic),0.86318407960199,0.8725647107590274
4993-JCRGJ,Male,0,No,No,0.3611111111111111,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,0.6572139303482587,0.2627118644067797
1133-KXCGE,Female,0,No,No,0.25,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,0.01840796019900498,0.04686924281503317
6521-YYTYI,Male,0,No,Yes,0.013888888888888888,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,0.7467661691542288,0.010742907148120855
6158-DWPZT,Male,0,Yes,No,0.125,No,No phone service,DSL,No,No,No,No,No,No,One year,No,Bank transfer (automatic),0.05820895522388059,0.029914333087693448
2305-MRGLV,Male,0,Yes,No,0.38888888888888884,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),0.5800995024875621,0.23781779661016952
7293-LSCDV,Female,0,Yes,Yes,0.8333333333333333,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),0.009950248756218888,0.12703228629329405
2958-NHPPS,Male,0,No,No,0.3194444444444444,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,0.025870646766169153,0.0545665991156964
2154-KVJFF,Female,0,No,No,0.20833333333333331,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,0.6119402985074627,0.12802252210759027
2038-YSEZE,Female,0,No,No,0.40277777777777773,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Mailed check,0.4895522388059702,0.2073853168754606
2418-TPEUN,Female,0,Yes,Yes,0.7777777777777777,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),0.015422885572139305,0.1289494288872513
1877-HKBQX,Female,0,No,No,0.15277777777777776,Yes,No,DSL,Yes,No,No,Yes,No,No,One year,Yes,Mailed check,0.36169154228855727,0.07114153463522477
1544-JJMYL,Male,0,No,No,0.375,Yes,No,DSL,Yes,No,Yes,Yes,Yes,No,One year,No,Credit card (automatic),0.508457711442786,0.22191645173176128
5583-SXDAG,Male,0,Yes,No,0.013888888888888888,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,0.5149253731343283,0.008060058953574062
8646-JCOMS,Female,0,Yes,No,0.9166666666666666,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,No,One year,Yes,Bank transfer (automatic),0.7194029850746269,0.7059402634487841
6048-QBXKL,Female,1,No,No,0.027777777777777776,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),0.38109452736318405,0.013615742446573325
8999-EXMNO,Female,0,Yes,Yes,0.2638888888888889,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,0.018905472636815884,0.04464121223286662
6242-SGYTS,Male,0,Yes,Yes,0.861111111111111,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,One year,Yes,Credit card (automatic),0.7631840796019901,0.6668950350036847
4626-OZDTJ,Female,0,Yes,No,0.7083333333333333,Yes,Yes,DSL,No,Yes,No,Yes,Yes,Yes,One year,Yes,Credit card (automatic),0.600995024875622,0.4549154845246869
4024-CSNBY,Female,0,Yes,No,1.0,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Bank transfer (automatic),0.7562189054726368,0.7887055545320562
4112-LUEIZ,Male,0,No,No,0.1388888888888889,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,0.708955223880597,0.09938052689756818
6252-DFGTK,Female,0,Yes,No,0.5138888888888888,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,One year,No,Credit card (automatic),0.4960199004975123,0.28547001658069276
4422-QVIJA,Female,0,No,Yes,0.4861111111111111,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,0.31741293532338305,0.19060312269712604
7766-CLTIC,Female,0,No,No,0.1388888888888889,Yes,No,DSL,No,No,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,0.4248756218905473,0.072488715917465
1934-SJVJK,Male,0,No,No,0.013888888888888888,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,0.018905472636815884,0.002320145541635962
5260-UMPWX,Female,0,Yes,Yes,0.3611111111111111,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),0.019900497512437804,0.05687523028739868
4291-TPNFG,Male,0,Yes,No,1.0,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),0.6373134328358209,0.6886226510685336
4803-AXVYP,Female,1,No,No,0.5277777777777778,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,0.8089552238805969,0.429975359248342
8784-CGILN,Female,0,No,No,0.25,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),0.8119402985074626,0.20460459653647756
9150-HEPMB,Male,0,No,No,0.7777777777777777,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,No,Mailed check,0.3427860696517413,0.3476994288872513
8570-KLJYJ,Female,0,No,No,0.5,Yes,Yes,DSL,Yes,No,No,No,No,No,One year,No,Mailed check,0.36019900497512436,0.21802459469417837
9054-FOWNV,Male,0,Yes,Yes,0.3055555555555555,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,0.7014925373134329,0.21706314480471633
0960-HUWBM,Male,0,Yes,Yes,0.9027777777777777,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),0.854228855721393,0.7714685427413414
1134-YWTYF,Male,0,Yes,No,0.375,Yes,No,DSL,No,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,0.353731343283582,0.16003247052321298
3002-WQZWT,Female,0,No,No,0.40277777777777773,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,0.5567164179104478,0.2295101787030214
2660-EMUBI,Male,1,No,No,0.1388888888888889,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,0.7671641791044775,0.1034393422991894
2786-GCDPI,Female,1,No,No,0.6944444444444444,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,0.8626865671641791,0.6013206982313929
3914-FDRHP,Male,0,No,No,0.125,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,No,Electronic check,0.6766169154228856,0.08871822033898306
0269-XFESX,Male,0,Yes,Yes,0.3194444444444444,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,0.06069651741293533,0.06200488209285189
7619-ODSGN,Male,0,Yes,Yes,0.3333333333333333,Yes,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,0.36318407960199006,0.15407954126750187
2043-WVTQJ,Male,0,Yes,No,0.013888888888888888,Yes,No,DSL,Yes,No,Yes,No,No,No,Month-to-month,No,Mailed check,0.372636815920398,0.006413504053058218
0384-RVBPI,Male,0,No,No,0.2777777777777778,Yes,No,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,No,Credit card (automatic),0.4592039800995025,0.16103997789240973
0378-XSZPU,Male,0,Yes,No,0.8055555555555555,Yes,No,DSL,Yes,Yes,Yes,No,No,No,One year,No,Credit card (automatic),0.41840796019900495,0.41034911569638916
5529-GIBVH,Female,0,No,No,0.6527777777777778,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,0.018905472636815884,0.12046333824613119
7322-OCWHC,Male,1,Yes,No,1.0,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Bank transfer (automatic),0.7442786069651741,0.7754985722181283
8735-IJJEG,Male,0,Yes,No,0.19444444444444442,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,No,Credit card (automatic),0.31791044776119404,0.07701386330140016
8050-XGRVL,Female,0,Yes,Yes,0.861111111111111,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,No,Credit card (automatic),0.36318407960199006,0.394407470523213
4846-WHAFZ,Female,1,Yes,No,0.5138888888888888,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,0.5796019900497512,0.33024940125276353
6907-CQGPN,Male,0,No,No,0.40277777777777773,No,No phone service,DSL,No,Yes,No,Yes,No,No,Month-to-month,No,Electronic check,0.15970149253731342,0.11569063190862197
3970-XGJDU,Female,0,No,No,0.861111111111111,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),0.009452736318407956,0.12938121775976422
8631-WUXGY,Female,0,No,Yes,0.6388888888888888,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,0.8114427860696517,0.5056247697126014
7218-HKQFK,Male,0,Yes,No,0.027777777777777776,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,0.7557213930348259,0.019286569638909363
6212-ATMLK,Female,0,No,No,0.6944444444444444,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,0.7706467661691543,0.5446009119380988
8625-AZYZY,Male,0,Yes,No,0.3333333333333333,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,0.8597014925373135,0.2927470983787767
7740-BTPUX,Male,1,Yes,No,0.7638888888888888,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,0.9487562189054725,0.7245647568165071
8869-LIHMK,Female,0,No,No,0.8888888888888888,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),0.9636815920398009,0.844469648120855
4951-UKAAQ,Female,0,No,No,0.05555555555555555,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,0.7034825870646766,0.04089904200442152
6624-JDRDS,Female,0,No,No,0.08333333333333333,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),0.11144278606965174,0.018589950257921886
9248-OJYKK,Male,1,No,No,0.013888888888888888,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,0.5791044776119403,0.008802735814296244
0513-RBGPE,Male,0,Yes,Yes,0.5138888888888888,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),0.4432835820895522,0.2623837048636699
3836-FZSDJ,Male,1,Yes,No,0.986111111111111,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),0.06567164179104479,0.21888817243920416
1301-LOPVR,Male,0,Yes,Yes,0.40277777777777773,No,No phone service,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),0.36915422885572136,0.18848447862932943
7479-NITWS,Male,0,No,No,0.09722222222222221,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),0.707462686567164,0.07275354642593959
3312-UUMZW,Male,0,Yes,No,0.4444444444444444,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),0.8019900497512437,0.362230563743552
0060-FUALY,Female,0,Yes,No,0.8194444444444444,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,0.7611940298507462,0.6445341285924835
2985-JUUBZ,Male,0,Yes,Yes,0.5555555555555556,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,0.5601990049751243,0.3472446112748711
5016-ETTFF,Male,0,No,No,0.1388888888888889,No,No phone service,DSL,No,No,Yes,No,No,No,Month-to-month,No,Mailed check,0.11194029850746268,0.029390429255711132
1998-VHJHK,Female,0,No,No,0.375,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,0.008955223880596996,0.0577272936624908
1925-TIBLE,Female,0,Yes,No,0.09722222222222221,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,0.6791044776119403,0.06707120486366987
0485-ZBSLN,Male,0,Yes,Yes,0.9027777777777777,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),0.06467661691542287,0.1974829587324982
4817-QRJSX,Female,0,No,No,0.1388888888888889,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),0.6243781094527363,0.09419330324244658
7299-GNVPL,Female,0,Yes,Yes,0.3194444444444444,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,No,Mailed check,0.6582089552238807,0.22301607406042742
0945-TSONX,Female,0,Yes,Yes,0.6527777777777778,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),0.6671641791044776,0.4729239591009581
6859-RKMZJ,Male,0,Yes,No,0.15277777777777776,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),0.36616915422885565,0.07002464075165808
4177-JPDFU,Male,0,No,No,0.16666666666666666,No,No phone service,DSL,No,Yes,No,Yes,No,No,Month-to-month,No,Mailed check,0.15671641791044777,0.05094532977155491
4459-BBGHE,Male,0,No,Yes,0.41666666666666663,No,No phone service,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,0.26119402985074625,0.15058492999263082
5196-SGOAK,Female,0,No,No,0.013888888888888888,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,0.5716417910447761,0.008716378039793663
0103-CSITQ,Female,0,Yes,No,0.7916666666666666,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),0.9069651741293533,0.7199590088430362
7206-PQBBZ,Male,1,Yes,No,0.15277777777777776,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,0.5169154228855721,0.09611044583640385
