customerid,gender,seniorcitizen,partner,dependents,tenure,phoneservice,multiplelines,internetservice,onlinesecurity,onlinebackup,deviceprotection,techsupport,streamingtv,streamingmovies,contract,paperlessbilling,paymentmethod,monthlycharges,totalcharges,churn
0732-OCQOC,Female,0,Yes,Yes,0.7222222222222222,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),0.06766169154228854,0.14626128408253503,No
5168-MSWXT,Male,0,Yes,Yes,0.1111111111111111,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,0.7611940298507462,0.0874573968312454,No
1090-ESELR,Male,0,Yes,Yes,1.0,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),0.8681592039800995,0.8764220246868093,No
8592-PLTMQ,Female,0,No,No,0.8888888888888888,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,0.06417910447761191,0.18915231208548272,No
5760-WRAHC,Female,1,No,No,0.3055555555555555,Yes,No,DSL,Yes,No,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,0.5124378109452736,0.17794307295504794,No
8847-GEOOQ,Male,0,Yes,No,0.8333333333333333,No,No phone service,DSL,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),0.4174129353233831,0.41249078850405313,No
0256-LTHVJ,Female,0,Yes,Yes,0.38888888888888884,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,0.6248756218905472,0.2564365327929256,Yes
4785-FCIFB,Female,0,Yes,No,0.8472222222222222,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,0.061194029850746234,0.16326225128960947,No
8313-NDOIA,Female,0,No,No,0.3333333333333333,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,0.854726368159204,0.28724322955047904,No
5149-CUZUJ,Male,0,Yes,Yes,0.38888888888888884,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic),0.7427860696517413,0.31875806005895363,No
0942-KOWSM,Female,0,Yes,Yes,0.41666666666666663,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),0.6223880597014925,0.27280996683861464,No
4237-CLSMM,Male,0,Yes,No,0.027777777777777776,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,0.01741293532338306,0.004375460574797348,No
1452-VOQCH,Male,0,No,No,0.013888888888888888,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,0.5656716417910447,0.0086472918201916,No
4719-UMSIY,Male,0,No,Yes,0.08333333333333333,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,0.013930348258706454,0.011617999263080327,No
6614-VBEGU,Female,0,Yes,No,0.3333333333333333,Yes,No,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),0.5094527363184079,0.18584768791451733,No
0880-TKATG,Male,0,Yes,Yes,0.05555555555555555,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,0.8248756218905472,0.04443395357406043,Yes
3811-VBYBZ,Male,0,No,No,0.09722222222222221,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,0.8114427860696517,0.07752049557848195,Yes
1480-BKXGA,Male,1,Yes,No,1.0,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),0.9731343283582089,0.9677712785556375,No
2996-XAUVF,Male,0,No,No,0.9722222222222222,No,No phone service,DSL,No,No,No,Yes,No,Yes,Two year,Yes,Mailed check,0.21691542288557208,0.3223735722181283,No
9076-AXYIK,Male,1,Yes,No,0.8888888888888888,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,No,Electronic check,0.8343283582089552,0.7528613209285189,No
5968-XQIVE,Male,0,Yes,Yes,1.0,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,One year,Yes,Electronic check,0.7109452736318408,0.7586760777450259,No
8896-RAZCR,Female,0,No,Yes,0.611111111111111,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,0.01641791044776117,0.09995624539425205,No
4640-UHDOS,Female,0,Yes,Yes,0.18055555555555555,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,0.37512437810945276,0.08455577560795875,Yes
4933-IKULF,Female,1,No,No,0.2361111111111111,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,0.023880597014925342,0.03806650700073693,No
3583-EKAPL,Male,0,No,No,0.013888888888888888,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,0.3656716417910447,0.006332903463522477,Yes
1304-BCCFO,Male,0,Yes,No,0.125,Yes,No,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,0.5154228855721392,0.06498710390567429,No
4104-PVRPS,Male,0,Yes,No,0.3333333333333333,Yes,No,DSL,Yes,No,No,Yes,No,No,Month-to-month,No,Mailed check,0.3517412935323383,0.15145426492262345,No
9399-APLBT,Female,0,Yes,Yes,0.013888888888888888,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,0.5616915422885572,0.008601234340456891,Yes
2359-KMGLI,Male,0,No,No,0.3333333333333333,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,0.6169154228855721,0.21433999631540165,Yes
3780-DDGSE,Male,1,Yes,Yes,0.4861111111111111,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,0.5751243781094527,0.3163227708179809,No
4431-EDMIQ,Female,0,Yes,Yes,0.09722222222222221,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,0.5716417910447761,0.06379536661753869,No
0306-JAELE,Male,0,No,No,0.06944444444444445,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,0.7746268656716417,0.05220615327929256,Yes
6227-HWPWX,Female,0,No,Yes,0.20833333333333331,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),0.5049751243781094,0.11454495210022109,Yes
0486-LGCCH,Male,0,Yes,Yes,0.15277777777777776,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,0.013930348258706454,0.025993690125276348,No
0447-BEMNG,Female,0,Yes,No,0.6666666666666666,No,No phone service,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),0.2691542288557213,0.2469832350773766,Yes
4612-SSVHJ,Female,1,No,No,0.2777777777777778,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,0.6288557213930348,0.19247420781134858,No
5168-MQQCA,Female,0,Yes,No,1.0,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),0.8980099502487563,0.9215871407516583,No
5949-XIKAE,Female,0,Yes,Yes,0.1111111111111111,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,0.6497512437810945,0.07830347273397201,Yes
7971-HLVXI,Male,0,Yes,Yes,1.0,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Two year,Yes,Credit card (automatic),0.6592039800995024,0.7059287490788505,No
9094-AZPHK,Female,0,No,No,0.20833333333333331,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,0.8149253731343283,0.16292833456153283,No
3649-JPUGY,Male,0,No,No,1.0,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),0.7,0.714115466101695,No
4472-LVYGI,Female,0,Yes,Yes,0.0,No,No phone service,DSL,Yes,No,Yes,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),0.3412935323383084,0.0,No
8372-JUXUI,Male,0,No,Yes,0.013888888888888888,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,0.5582089552238805,0.008560934045689021,Yes
3552-CTCYF,Male,0,Yes,Yes,0.875,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),0.8611940298507462,0.7596317704495211,No
6778-YSNIH,Female,0,No,No,0.027777777777777776,Yes,No,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,0.4054726368159204,0.01314365327929256,No
0388-EOPEX,Female,0,Yes,No,0.027777777777777776,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,0.5587064676616916,0.016051031687546062,Yes
5756-OZRIO,Male,1,Yes,No,0.8472222222222222,Yes,Yes,DSL,No,Yes,No,No,No,Yes,One year,No,Bank transfer (automatic),0.45572139303482584,0.4493598010316876,No
6579-JPICP,Male,0,No,No,0.013888888888888888,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,0.021393034825870627,0.002348931466470155,No
8205-OTCHB,Male,0,No,No,0.3055555555555555,No,No phone service,DSL,No,Yes,Yes,No,No,Yes,One year,Yes,Bank transfer (automatic),0.2537313432835821,0.10404384672070746,Yes
4134-BSXLX,Male,0,Yes,No,0.38888888888888884,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Mailed check,0.42437810945273624,0.2056063467207075,No
0505-SPOOW,Female,0,Yes,No,0.9722222222222222,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),0.015422885572139305,0.16093059137803983,No
6235-VDHOM,Female,1,No,No,0.06944444444444445,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,0.10149253731343283,0.015089581798084012,Yes
7783-YKGDV,Female,0,No,No,0.16666666666666666,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),0.8104477611940298,0.14259971444362568,Yes
4374-YMUSQ,Male,0,No,No,0.4722222222222222,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,No,Credit card (automatic),0.9751243781094526,0.4489510408990421,No
4513-CXYIX,Female,1,Yes,No,0.986111111111111,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Two year,Yes,Credit card (automatic),0.6213930348258706,0.6535556374355196,No
3957-HHLMR,Female,0,Yes,Yes,0.9722222222222222,Yes,Yes,DSL,Yes,No,No,No,No,Yes,One year,No,Bank transfer (automatic),0.4671641791044776,0.523115097641857,No
7803-XOCCZ,Female,0,Yes,Yes,0.7222222222222222,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),0.6547263681592039,0.49820375829034647,No
5736-YEJAX,Male,0,No,Yes,0.9583333333333333,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),0.608955223880597,0.6335839627855565,No
5609-CEBID,Female,1,No,No,0.2777777777777778,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,0.7547263681592039,0.20523212969786297,Yes
8981-FJGLA,Male,0,No,Yes,0.15277777777777776,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,0.5945273631840796,0.09807940309506265,No
7218-HKQFK,Male,0,Yes,No,0.027777777777777776,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,0.7557213930348259,0.019286569638909363,Yes
4636-QRJKY,Female,0,Yes,Yes,0.08333333333333333,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,0.6194029850746269,0.057900009211495955,Yes
1135-LMECX,Female,0,No,No,0.013888888888888888,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,0.015920398009950265,0.0022856024318349305,No
4332-MUOEZ,Male,1,Yes,Yes,0.2777777777777778,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,Yes,One year,No,Credit card (automatic),0.7567164179104477,0.20936578850405307,No
8535-SFUTN,Male,0,No,No,0.8472222222222222,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,0.8776119402985075,0.725422577376566,No
5956-VKDTT,Female,1,Yes,No,0.06944444444444445,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,0.5582089552238805,0.03855011053795137,Yes
8677-HDZEE,Female,0,No,No,0.7777777777777777,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),0.8676616915422884,0.6812995117907149,No
2475-MROZF,Male,0,No,No,0.41666666666666663,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),0.763681592039801,0.32843588798820933,No
9412-GHEEC,Male,0,No,No,0.5555555555555556,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),0.8611940298507462,0.47576800847457634,Yes
3482-ABPKK,Female,0,No,No,0.38888888888888884,Yes,No,DSL,Yes,No,No,Yes,No,No,One year,No,Mailed check,0.35870646766169145,0.17804670228445102,No
6705-LXORM,Female,1,Yes,No,0.06944444444444445,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,0.5154228855721392,0.034842483419307305,No
0257-ZESQC,Female,1,Yes,No,0.375,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),0.5666666666666667,0.22215249631540165,Yes
7531-GQHME,Male,0,No,No,0.16666666666666666,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),0.01791044776119402,0.03056489498894621,No
5174-ITUMV,Male,0,Yes,Yes,0.9305555555555555,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,0.8671641791044776,0.8047911293294032,No
4109-CYRBD,Male,1,Yes,No,0.40277777777777773,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,0.33184079601990046,0.16603721444362568,No
0913-XWSCN,Male,0,Yes,Yes,0.7638888888888888,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),0.6691542288557214,0.5427183124539425,No
6825-UYPFK,Female,0,No,No,0.3194444444444444,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),0.5706467661691541,0.20249170965364777,Yes
8397-MVTAZ,Male,0,Yes,No,0.4722222222222222,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,0.8139303482587064,0.40070007369196764,Yes
0750-EBAIU,Male,0,No,No,0.7222222222222222,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,No,One year,No,Electronic check,0.7263681592039801,0.5455853905674283,No
8606-CIQUL,Male,1,Yes,Yes,1.0,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),0.9701492537313433,0.9671092022844511,No
3571-DPYUH,Male,0,Yes,Yes,0.8055555555555555,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,No,One year,Yes,Credit card (automatic),0.7606965174129353,0.6252705876934416,No
7601-GNDYK,Male,0,Yes,Yes,0.4861111111111111,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,0.013432835820895522,0.07909796425939575,No
0356-OBMAC,Female,1,No,No,0.7777777777777777,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),0.8124378109452737,0.6570444915254239,No
8067-NIOYM,Female,0,Yes,Yes,0.3333333333333333,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),0.028358208955223896,0.05649525607958733,No
1403-GYAFU,Male,0,Yes,Yes,0.9722222222222222,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),0.01791044776119402,0.15662421702284454,No
4234-XTNEA,Male,0,No,No,0.027777777777777776,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,0.6139303482587065,0.02008681834929993,No
1297-VQDRP,Male,1,Yes,Yes,0.9444444444444444,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,Yes,Credit card (automatic),0.8845771144278608,0.8497374723655123,No
9282-IZGQK,Female,0,No,No,0.013888888888888888,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,0.664179104477612,0.009787214443625646,Yes
5348-CAGXB,Male,0,No,No,0.16666666666666666,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,0.7094527363184079,0.11764807479734711,No
0621-HJWXJ,Female,0,Yes,No,0.875,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),0.6298507462686567,0.5790634211495947,No
5844-QVTAT,Female,0,Yes,Yes,0.4583333333333333,Yes,No,DSL,Yes,Yes,Yes,No,No,No,One year,Yes,Mailed check,0.4,0.22515198968312458,No
8905-IAZPF,Female,0,Yes,No,0.9583333333333333,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,One year,Yes,Credit card (automatic),0.7701492537313434,0.7765521370670598,No
5394-MEITZ,Female,0,Yes,Yes,0.8333333333333333,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),0.6203980099502486,0.5695813375092116,No
6859-QNXIQ,Female,0,Yes,Yes,1.0,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),0.9437810945273631,0.9497628039793664,No
2782-LFZVW,Female,0,No,No,0.15277777777777776,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,0.40497512437810945,0.06927044952100223,No
2866-IKBTM,Female,0,No,No,0.013888888888888888,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,0.012935323383084563,0.002251059322033899,No
1342-JPNKI,Male,0,No,No,0.1388888888888889,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),0.6746268656716418,0.09604135961680178,Yes
2817-NTQDO,Male,0,No,No,0.18055555555555555,No,No phone service,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),0.2716417910447761,0.06874078850405307,Yes
7129-AZJDE,Male,0,Yes,Yes,0.4722222222222222,Yes,No,Fiber optic,No,No,No,No,No,Yes,One year,Yes,Bank transfer (automatic),0.6039800995024875,0.3048084008843036,No
6986-IJDHX,Male,0,Yes,Yes,0.5416666666666666,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Mailed check,0.6771144278606964,0.37605932203389836,Yes
2560-PPCHE,Female,0,No,No,0.9027777777777777,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),0.863681592039801,0.7765578942520266,No
4676-MQUEA,Male,1,Yes,No,0.6944444444444444,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,One year,Yes,Bank transfer (automatic),0.8323383084577115,0.6062891488577746,No
8138-EALND,Male,0,No,No,0.20833333333333331,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,0.014925373134328346,0.03587877671333825,No
3580-HYCSP,Male,0,Yes,Yes,1.0,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),0.9159203980099503,0.9173383382461313,No
1352-HNSAW,Female,0,Yes,Yes,1.0,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),0.9686567164179104,0.9465272660280031,No
2075-PUEPR,Male,0,Yes,Yes,0.7638888888888888,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),0.010945273631840807,0.13278947126013266,No
1982-FEBTD,Female,0,Yes,Yes,0.3194444444444444,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),0.07313432835820893,0.059270219233603545,No
5301-GAUUY,Male,0,No,No,0.4444444444444444,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),0.617910447761194,0.2989303150331614,Yes
5791-KAJFD,Female,0,Yes,Yes,0.7777777777777777,Yes,Yes,DSL,Yes,No,Yes,No,No,Yes,One year,Yes,Bank transfer (automatic),0.5024875621890547,0.43846720707442893,No
2654-VBVPB,Female,0,No,No,0.013888888888888888,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),0.01641791044776117,0.0022913596168017687,No
1154-HYWWO,Male,0,No,No,0.5277777777777778,Yes,No,DSL,Yes,Yes,No,Yes,Yes,No,One year,No,Mailed check,0.5208955223880596,0.31183216654384677,No
2501-XWWTZ,Male,0,No,No,0.15277777777777776,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,0.5169154228855721,0.08751496868091378,No
3716-UVSPD,Male,0,No,No,0.013888888888888888,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,0.308955223880597,0.005676584377302875,No
6815-ABQFQ,Male,0,Yes,No,0.7777777777777777,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,One year,Yes,Electronic check,0.8855721393034827,0.6946964812085484,No
7343-EOBEU,Male,0,Yes,No,0.041666666666666664,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,0.05323383084577116,0.010253546425939574,No
3701-SFMUH,Male,0,Yes,Yes,0.09722222222222221,Yes,No,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),0.5119402985074627,0.059431420412675025,No
6103-LIANB,Male,0,Yes,Yes,0.8194444444444444,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),0.808457711442786,0.6749435795873251,No
7319-VENRZ,Male,0,No,No,0.09722222222222221,Yes,No,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),0.4582089552238805,0.05134833271923361,No
5846-NEQVZ,Male,0,Yes,Yes,0.986111111111111,Yes,No,DSL,Yes,No,Yes,Yes,No,Yes,Two year,Yes,Credit card (automatic),0.5233830845771144,0.5726556742815033,No
6967-QIQRV,Male,0,Yes,Yes,0.20833333333333331,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,Yes,One year,No,Electronic check,0.8323383084577115,0.19197333271923364,No
5781-RFZRP,Male,0,Yes,No,0.986111111111111,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Two year,No,Credit card (automatic),0.5497512437810945,0.6169111551215918,No
0939-YAPAF,Female,0,No,No,0.4861111111111111,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,0.8159203980099502,0.406180913780398,Yes
0308-IVGOK,Female,0,No,No,0.15277777777777776,No,No phone service,DSL,No,Yes,Yes,Yes,No,No,One year,Yes,Credit card (automatic),0.22039800995024872,0.04865972733971998,No
7293-LSCDV,Female,0,Yes,Yes,0.8333333333333333,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),0.009950248756218888,0.12703228629329405,No
7025-WCBNE,Male,1,No,No,0.6527777777777778,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Two year,No,Bank transfer (automatic),0.4114427860696518,0.3171057479734709,No
5756-JYOJT,Female,0,No,No,0.15277777777777776,Yes,No,DSL,No,No,Yes,Yes,No,Yes,One year,No,Credit card (automatic),0.464179104477612,0.08028394436256449,No
4710-FDUIZ,Male,0,Yes,No,0.7777777777777777,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,One year,No,Credit card (automatic),0.8164179104477611,0.6464685427413412,Yes
6030-REHUX,Female,1,Yes,No,0.38888888888888884,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,0.9213930348258706,0.3689664701547532,No
9548-LIGTA,Male,0,Yes,No,0.8472222222222222,Yes,No,DSL,Yes,Yes,No,Yes,Yes,Yes,Two year,Yes,Mailed check,0.6248756218905472,0.546661984156227,No
5150-LJNSR,Male,0,Yes,Yes,0.4305555555555555,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,One year,No,Bank transfer (automatic),0.7940298507462686,0.35488439572586594,No
8270-RKSAP,Male,0,No,No,0.125,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,0.5199004975124378,0.06884441783345616,No
6522-YRBXD,Male,1,Yes,No,0.4861111111111111,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,0.7592039800995024,0.3875046057479735,No
2640-LYMOV,Male,0,No,No,0.027777777777777776,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,0.013930348258706454,0.004467575534266765,No
1218-VKFPE,Female,0,Yes,Yes,0.16666666666666666,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,0.007462686567164173,0.026891810980103174,Yes
3627-FHKBK,Female,0,No,No,0.013888888888888888,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,0.5676616915422885,0.008670320560058955,Yes
2865-TCHJW,Female,1,No,No,0.05555555555555555,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,0.7059701492537314,0.03986274871039057,Yes
1423-BMPBQ,Female,0,Yes,Yes,0.013888888888888888,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,0.007462686567164173,0.002187730287398674,No
2393-DIVAI,Female,0,No,No,0.041666666666666664,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,0.01741293532338306,0.007104366249078852,No
5192-EBGOV,Female,1,No,No,0.013888888888888888,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,0.6711442786069651,0.009867815033161387,Yes
4568-KNYWR,Male,0,No,No,0.7222222222222222,Yes,No,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),0.4477611940298507,0.3848620578481946,No
8752-IMQOS,Male,0,Yes,Yes,0.06944444444444445,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,0.01840796019900498,0.009798728813559322,No
0742-LAFQK,Male,0,Yes,No,1.0,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes,Two year,Yes,Electronic check,0.8049751243781095,0.8546080508474578,No
